时间,日期,总业务量
2019/12/17,7:30,945041
2019/12/17,8:00,1114094
2019/12/17,8:30,1203785
2019/12/17,9:00,1340928
2019/12/17,9:30,1498120
2019/12/17,10:00,1560137
2019/12/17,10:30,1563271
2019/12/17,11:00,1545932
2019/12/17,11:30,1588374
2019/12/17,12:00,1602129
2019/12/17,12:30,1559630
2019/12/17,13:00,1291367
2019/12/17,13:30,1288650
2019/12/17,14:00,1370634
2019/12/17,14:30,1356510
2019/12/17,15:00,1358522
2019/12/17,15:30,1411981
2019/12/17,16:00,1409869
2019/12/17,16:30,1378011
2019/12/17,17:00,1302449
2019/12/17,17:30,1344446
2019/12/17,18:00,1278564
2019/12/17,18:30,1250170
2019/12/17,19:00,1267930
2019/12/17,19:30,1258407
2019/12/17,20:00,1365467
2019/12/17,20:30,1351806
2019/12/17,21:00,1325293
2019/12/17,21:30,1306771
2019/12/17,22:00,1246964
2019/12/17,22:30,1129223
2019/12/17,23:00,820401
2019/12/17,23:30,592604
2019/12/18,0:00,449380
2019/12/18,0:30,315570
2019/12/18,1:00,228322
2019/12/18,1:30,188272
2019/12/18,2:00,171596
2019/12/18,2:30,151819
2019/12/18,3:00,133939
2019/12/18,3:30,136752
2019/12/18,4:00,129535
2019/12/18,4:30,140354
2019/12/18,5:00,209715
2019/12/18,5:30,296792
2019/12/18,6:00,447595
2019/12/18,6:30,587291
2019/12/18,7:00,837276
2019/12/18,7:30,962117
2019/12/18,8:00,1151326
2019/12/18,8:30,1222803
2019/12/18,9:00,1481817
2019/12/18,9:30,1480941
2019/12/18,10:00,1575681
2019/12/18,10:30,1462118
2019/12/18,11:00,1567939
2019/12/18,11:30,1694788
2019/12/18,12:00,1692443
2019/12/18,12:30,1558053
2019/12/18,13:00,1395204
2019/12/18,13:30,1385703
2019/12/18,14:00,1353406
2019/12/18,14:30,1437042
2019/12/18,15:00,1451704
2019/12/18,15:30,1498264
2019/12/18,16:00,1035572
2019/12/18,16:30,1313423
2019/12/18,17:00,1527572
2019/12/18,17:30,1501883
2019/12/18,18:00,1486033
2019/12/18,18:30,1494571
2019/12/18,19:00,1514972
2019/12/18,19:30,1508949
2019/12/18,20:00,1529344
2019/12/18,20:30,1479288
2019/12/18,21:00,1387243
2019/12/18,21:30,1394532
2019/12/18,22:00,1244907
2019/12/18,22:30,1128797
2019/12/18,23:00,957899
2019/12/18,23:30,710318
2019/12/19,0:00,616335
2019/12/19,0:30,437404
2019/12/19,1:00,311422
2019/12/19,1:30,230132
2019/12/19,2:00,189862
2019/12/19,2:30,163937
2019/12/19,3:00,164614
2019/12/19,3:30,156084
2019/12/19,4:00,158835
2019/12/19,4:30,174416
2019/12/19,5:00,232575
2019/12/19,5:30,326417
2019/12/19,6:00,481565
2019/12/19,6:30,661630
2019/12/19,7:00,868332
2019/12/19,7:30,965183
2019/12/19,8:00,1150235
2019/12/19,8:30,1237480
2019/12/19,9:00,1357640
2019/12/19,9:30,1418140
2019/12/19,10:00,1682425
2019/12/19,10:30,1685871
2019/12/19,11:00,1710684
2019/12/19,11:30,1763914
2019/12/19,12:00,1726590
2019/12/19,12:30,1740027
2019/12/19,13:00,1495143
2019/12/19,13:30,1422140
2019/12/19,14:00,1489800
2019/12/19,14:30,1503659
2019/12/19,15:00,1474827
2019/12/19,15:30,1592974
2019/12/19,16:00,1612098
2019/12/19,16:30,1631687
2019/12/19,17:00,1555791
2019/12/19,17:30,1513942
2019/12/19,18:00,1463248
2019/12/19,18:30,1454469
2019/12/19,19:00,1463907
2019/12/19,19:30,1458708
2019/12/19,20:00,1429360
2019/12/19,20:30,1429236
2019/12/19,21:00,1412369
2019/12/19,21:30,1377828
2019/12/19,22:00,1339575
2019/12/19,22:30,1149241
2019/12/19,23:00,821572
2019/12/19,23:30,577768
2019/12/20,0:00,506361
2019/12/20,0:30,356936
2019/12/20,1:00,262636
2019/12/20,1:30,194692
2019/12/20,2:00,159966
2019/12/20,2:30,151435
2019/12/20,3:00,140719
2019/12/20,3:30,135125
2019/12/20,4:00,140347
2019/12/20,4:30,162157
2019/12/20,5:00,223176
2019/12/20,5:30,326668
2019/12/20,6:00,477145
2019/12/20,6:30,666833
2019/12/20,7:00,936868
2019/12/20,7:30,1038490
2019/12/20,8:00,1208575
2019/12/20,8:30,1272880
2019/12/20,9:00,1466514
2019/12/20,9:30,1488667
2019/12/20,10:00,1653069
2019/12/20,10:30,1612025
2019/12/20,11:00,1614186
2019/12/20,11:30,1696756
2019/12/20,12:00,1841528
2019/12/20,12:30,1732709
2019/12/20,13:00,1527549
2019/12/20,13:30,1414155
2019/12/20,14:00,1481850
2019/12/20,14:30,1464820
2019/12/20,15:00,1588763
2019/12/20,15:30,1575248
2019/12/20,16:00,1731224
2019/12/20,16:30,1661931
2019/12/20,17:00,1676374
2019/12/20,17:30,1618951
2019/12/20,18:00,1531910
2019/12/20,18:30,1590678
2019/12/20,19:00,1507049
