   ,,日期,时间,业务量
888,,20191119,1130,60055
889,,20191119,1200,68611
890,,20191119,1230,65449
891,,20191119,1300,55889
892,,20191119,1330,50064
893,,20191119,1400,52124
894,,20191119,1430,50263
895,,20191119,1500,49773
896,,20191119,1530,47213
897,,20191119,1600,48942
898,,20191119,1630,46091
899,,20191119,1700,53772
900,,20191119,1730,57124
901,,20191119,1800,62341
902,,20191119,1830,62062
903,,20191119,1900,65672
904,,20191119,1930,58585
905,,20191119,2000,63147
906,,20191119,2030,60040
907,,20191119,2100,61932
908,,20191119,2130,56185
909,,20191119,2200,56327
910,,20191119,2230,54130
911,,20191119,2300,37261
912,,20191119,2330,29975
913,,20191120,0,24940
914,,20191120,30,14932
915,,20191120,100,11699
916,,20191120,130,8732
917,,20191120,200,7576
918,,20191120,230,6124
919,,20191120,300,5309
920,,20191120,330,5126
921,,20191120,400,4849
922,,20191120,430,4978
923,,20191120,500,6360
924,,20191120,530,10173
925,,20191120,600,16165
926,,20191120,630,26530
927,,20191120,700,48208
928,,20191120,730,58225
929,,20191120,800,80466
930,,20191120,830,77604
931,,20191120,900,77964
932,,20191120,930,75268
933,,20191120,1000,67829
934,,20191120,1030,63402
935,,20191120,1100,62273
936,,20191120,1130,59149
937,,20191120,1200,72030
938,,20191120,1230,69530
939,,20191120,1300,58706
940,,20191120,1330,54075
941,,20191120,1400,59474
942,,20191120,1430,51366
943,,20191120,1500,47440
944,,20191120,1530,50719
945,,20191120,1600,50649
946,,20191120,1630,43738
947,,20191120,1700,57879
948,,20191120,1730,59971
949,,20191120,1800,60920
950,,20191120,1830,63736
951,,20191120,1900,66398
952,,20191120,1930,60965
953,,20191120,2000,63134
954,,20191120,2030,64779
955,,20191120,2100,62202
956,,20191120,2130,61457
957,,20191120,2200,64843
958,,20191120,2230,56813
959,,20191120,2300,43965
960,,20191120,2330,37554
961,,20191121,0,37891
962,,20191121,30,28067
963,,20191121,100,24389
964,,20191121,130,21331
965,,20191121,200,18822
966,,20191121,230,16263
967,,20191121,300,13428
968,,20191121,330,10889
969,,20191121,400,9971
970,,20191121,430,9427
971,,20191121,500,10988
972,,20191121,530,14075
973,,20191121,600,21193
974,,20191121,630,34179
975,,20191121,700,51307
976,,20191121,730,55383
977,,20191121,800,72192
978,,20191121,830,66245
979,,20191121,900,71083
980,,20191121,930,68535
981,,20191121,1000,64137
982,,20191121,1030,64813
983,,20191121,1100,60674
984,,20191121,1130,67812
985,,20191121,1200,75992
986,,20191121,1230,73305
987,,20191121,1300,61370
988,,20191121,1330,53578
989,,20191121,1400,55167
990,,20191121,1430,54939
991,,20191121,1500,51045
992,,20191121,1530,49281
993,,20191121,1600,52151
994,,20191121,1630,53953
995,,20191121,1700,56182
996,,20191121,1730,65537
997,,20191121,1800,64198
998,,20191121,1830,63435
999,,20191121,1900,70818
1000,,20191121,1930,78410
1001,,20191121,2000,71723
1002,,20191121,2030,71682
1003,,20191121,2100,68878
1004,,20191121,2130,69901
1005,,20191121,2200,74249
1006,,20191121,2230,58949
1007,,20191121,2300,47272
1008,,20191121,2330,40232
1009,,20191122,0,45821
1010,,20191122,30,25920
1011,,20191122,100,17902
1012,,20191122,130,14266
1013,,20191122,200,12400
1014,,20191122,230,9465
1015,,20191122,300,7678
1016,,20191122,330,6400
1017,,20191122,400,6791
1018,,20191122,430,6496
1019,,20191122,500,8159
1020,,20191122,530,11695
1021,,20191122,600,18457
1022,,20191122,630,30397
1023,,20191122,700,58372
1024,,20191122,730,66546
1025,,20191122,800,82203
1026,,20191122,830,65878
1027,,20191122,900,73930
1028,,20191122,930,77620
1029,,20191122,1000,70000
1030,,20191122,1030,62279
1031,,20191122,1100,69453
1032,,20191122,1130,69646
1033,,20191122,1200,78918
1034,,20191122,1230,70215
1035,,20191122,1300,67078
1036,,20191122,1330,64586
